date,reference_rate
2026-04-20,93.0681
2026-04-21,93.4404
2026-04-22,93.8351
2026-04-23,94.0802
2026-04-24,94.2958
2026-04-27,94.2168
2026-04-28,94.521
2026-04-29,94.787
2026-04-30,95.2417
2026-05-04,94.9432
2026-05-05,95.3602
2026-05-06,95.1643
2026-05-07,94.7759
2026-05-08,94.4365
2026-05-11,95.2029
2026-05-12,95.5564
2026-05-13,95.6536
2026-05-14,95.7529
2026-05-15,95.9255
2026-05-18,96.2948
2026-05-19,96.345
2026-05-20,96.8441
2026-05-21,96.3172
2026-05-22,95.9588
2026-05-25,95.2047
2026-05-26,95.4437
2026-05-27,95.7883
2026-05-29,95.3845
2026-06-01,94.8913
2026-06-02,95.1702
2026-06-03,95.7795
2026-06-04,95.7425
2026-06-05,95.3996
2026-06-08,95.6198
2026-06-09,95.6359
2026-06-10,95.1855
2026-06-11,95.7205
2026-06-12,95.3825
2026-06-15,94.6772
2026-06-16,94.6992
2026-06-17,94.3758
2026-06-18,94.2795
