Time,Symbol,Side,Entry,Stop_Loss,Target,Risk_Pct,RVOL,Max_Gain_Pct,Max_Drawdown_Pct,Verdict,Realized_R
09:35,MCX,CE,3232.40,3181.10,3335.00,1.59,3.22,1.69,1.12,IN PROFIT,0.84
09:45,HDFCLIFE,CE,539.10,535.87,545.56,0.60,6.25,1.61,0.26,TARGET HIT,2.00
09:55,PRESTIGE,CE,1642.30,1632.45,1662.00,0.60,1.53,0.24,0.62,STOPPED OUT,-1.00
10:20,ATHERENERG,PE,1609.00,1633.50,1560.00,1.52,2.94,2.99,0.04,IN PROFIT,1.02
10:35,APLAPOLLO,CE,2184.80,2171.69,2211.02,0.60,2.04,1.89,0.59,TARGET HIT,2.00
10:35,SBILIFE,CE,1751.70,1737.70,1779.70,0.80,3.36,1.33,0.14,IN PROFIT,1.66
10:40,HCLTECH,PE,1309.00,1316.85,1293.30,0.60,3.59,1.28,0.45,TARGET HIT,2.00
10:55,KAYNES,CE,3571.00,3522.00,3669.00,1.37,2.11,1.21,0.03,IN PROFIT,0.55
11:10,HAVELLS,PE,1156.30,1165.70,1137.50,0.81,1.64,0.54,0.28,IN PROFIT,0.24
11:35,DIXON,CE,14295.00,14209.23,14466.54,0.60,1.40,0.15,0.69,STOPPED OUT,-1.00
11:45,PRESTIGE,PE,1629.10,1638.87,1609.56,0.60,2.04,1.47,0.19,TARGET HIT,2.00
11:55,TATASTEEL,PE,183.31,184.41,181.11,0.60,2.11,0.26,0.78,STOPPED OUT,-1.00
12:55,KEI,PE,4869.50,4902.00,4804.50,0.67,3.17,1.00,0.47,IN PROFIT,0.60
12:55,POLYCAB,PE,8276.00,8325.66,8176.68,0.60,2.19,0.27,0.57,RETESTING,-0.48
13:10,TATASTEEL,CE,184.55,183.44,186.77,0.60,1.46,1.56,0.17,TARGET HIT,2.00
14:00,ATHERENERG,CE,1575.90,1566.10,1595.50,0.62,1.73,1.31,0.03,TARGET HIT,2.00
14:10,MCX,PE,3202.60,3221.82,3164.16,0.60,1.60,0.20,1.55,STOPPED OUT,-1.00
14:10,POLYCAB,CE,8298.00,8248.21,8397.58,0.60,3.82,0.31,0.18,RETESTING,0.04
14:15,DIXON,PE,14202.00,14287.21,14031.58,0.60,1.82,0.20,0.63,STOPPED OUT,-1.00
14:55,HAVELLS,CE,1154.60,1147.67,1168.46,0.60,2.33,0.42,0.10,RETESTING,-0.09
